PLUS_MINUS,game,handicap,odds,name,description,first,hit
8,2024-02-13 Brooklyn Nets,8.0,90.9090909090909,Brooklyn Nets,Spread Betting,1.0,0.5
8,2024-02-13 Brooklyn Nets,15.5,72.46376811594203,Brooklyn Nets,Spread Betting,0.0,1.0
14,2024-02-13 Orlando Magic,2.5,90.9090909090909,Orlando Magic,Spread Betting,1.0,0.0
14,2024-02-13 Orlando Magic,5.5,88.49557522123894,Orlando Magic,Spread Betting,0.0,0.0
-14,2024-02-13 Oklahoma City Thunder,-3.0,92.5925925925926,Oklahoma City Thunder,Spread Betting,1.0,1.0
-14,2024-02-13 Oklahoma City Thunder,-5.5,86.95652173913044,Oklahoma City Thunder,Spread Betting,0.0,1.0
26,2024-02-13 Milwaukee Bucks,-7.5,92.5925925925926,Milwaukee Bucks,Spread Betting,1.0,0.0
26,2024-02-13 Milwaukee Bucks,3.5,76.92307692307693,Milwaukee Bucks,Spread Betting,0.0,0.0
-26,2024-02-13 Miami Heat,7.5,89.28571428571429,Miami Heat,Spread Betting,1.0,1.0
-26,2024-02-13 Miami Heat,-3.5,100.0,Miami Heat,Spread Betting,0.0,1.0
12,2024-02-13 Portland Trail Blazers,9.0,89.28571428571429,Portland Trail Blazers,Spread Betting,1.0,0.0
12,2024-02-13 Portland Trail Blazers,8.5,104.0,Portland Trail Blazers,Spread Betting,0.0,0.0
-12,2024-02-13 Minnesota Timberwolves,-9.0,92.5925925925926,Minnesota Timberwolves,Spread Betting,1.0,1.0
-12,2024-02-13 Minnesota Timberwolves,-8.5,74.07407407407408,Minnesota Timberwolves,Spread Betting,0.0,1.0
-5,2024-02-13 Phoenix Suns,-4.5,90.9090909090909,Phoenix Suns,Spread Betting,1.0,1.0
-5,2024-02-13 Phoenix Suns,1.5,78.125,Phoenix Suns,Spread Betting,0.0,1.0
5,2024-02-13 Sacramento Kings,4.5,90.9090909090909,Sacramento Kings,Spread Betting,1.0,0.0
5,2024-02-13 Sacramento Kings,-1.5,98.0392156862745,Sacramento Kings,Spread Betting,0.0,0.0
-14,2024-02-13 Los Angeles Lakers,-12.0,94.33962264150944,Los Angeles Lakers,Spread Betting,1.0,1.0
-14,2024-02-13 Los Angeles Lakers,-24.5,92.5925925925926,Los Angeles Lakers,Spread Betting,0.0,0.0
14,2024-02-13 Detroit Pistons,11.5,92.5925925925926,Detroit Pistons,Spread Betting,1.0,0.0
14,2024-02-13 Detroit Pistons,24.5,83.33333333333334,Detroit Pistons,Spread Betting,0.0,1.0
-9,2024-02-12 Charlotte Hornets,10.0,90.9090909090909,Charlotte Hornets,Spread Betting,1.0,1.0
-9,2024-02-12 Charlotte Hornets,6.5,80.0,Charlotte Hornets,Spread Betting,0.0,1.0
9,2024-02-12 Indiana Pacers,-10.0,90.9090909090909,Indiana Pacers,Spread Betting,1.0,0.0
9,2024-02-12 Indiana Pacers,-6.5,96.15384615384616,Indiana Pacers,Spread Betting,0.0,0.0
2,2024-02-12 Cleveland Cavaliers,-11.5,90.9090909090909,Cleveland Cavaliers,Spread Betting,1.0,0.0
2,2024-02-12 Cleveland Cavaliers,-4.5,74.07407407407408,Cleveland Cavaliers,Spread Betting,0.0,0.0
-2,2024-02-12 Philadelphia 76ers,11.5,90.9090909090909,Philadelphia 76ers,Spread Betting,1.0,1.0
-2,2024-02-12 Philadelphia 76ers,4.5,104.0,Philadelphia 76ers,Spread Betting,0.0,1.0
23,2024-02-12 Toronto Raptors,-6.0,89.28571428571429,Toronto Raptors,Spread Betting,1.0,0.0
23,2024-02-12 Toronto Raptors,6.5,100.0,Toronto Raptors,Spread Betting,0.0,0.0
-23,2024-02-12 San Antonio Spurs,6.0,92.5925925925926,San Antonio Spurs,Spread Betting,1.0,1.0
-23,2024-02-12 San Antonio Spurs,-9.5,100.0,San Antonio Spurs,Spread Betting,0.0,1.0
9,2024-02-12 Memphis Grizzlies,10.0,87.71929824561403,Memphis Grizzlies,Spread Betting,1.0,1.0
9,2024-02-12 Memphis Grizzlies,16.5,74.07407407407408,Memphis Grizzlies,Spread Betting,0.0,1.0
-9,2024-02-12 New Orleans Pelicans,-10.0,94.33962264150944,New Orleans Pelicans,Spread Betting,1.0,0.0
-9,2024-02-12 New Orleans Pelicans,-16.5,104.0,New Orleans Pelicans,Spread Betting,0.0,0.0
-17,2024-02-12 Milwaukee Bucks,-1.0,89.28571428571429,Milwaukee Bucks,Spread Betting,1.0,1.0
-17,2024-02-12 Milwaukee Bucks,-11.5,94.33962264150944,Milwaukee Bucks,Spread Betting,0.0,1.0
17,2024-02-12 Denver Nuggets,1.0,92.5925925925926,Denver Nuggets,Spread Betting,1.0,0.0
17,2024-02-12 Denver Nuggets,11.5,81.9672131147541,Denver Nuggets,Spread Betting,0.0,0.0
-21,2024-02-12 Minnesota Timberwolves,5.0,94.33962264150944,Minnesota Timberwolves,Spread Betting,1.0,1.0
-21,2024-02-12 Minnesota Timberwolves,5.5,83.33333333333334,Minnesota Timberwolves,Spread Betting,0.0,1.0
2,2024-02-12 New York Knicks,0.5,92.5925925925926,New York Knicks,Spread Betting,1.0,0.0
2,2024-02-12 New York Knicks,9.5,84.7457627118644,New York Knicks,Spread Betting,0.0,1.0
-2,2024-02-12 Houston Rockets,-0.5,89.28571428571429,Houston Rockets,Spread Betting,1.0,1.0
-2,2024-02-12 Houston Rockets,-9.5,90.9090909090909,Houston Rockets,Spread Betting,0.0,0.0
10,2024-02-12 Atlanta Hawks,-5.0,90.9090909090909,Atlanta Hawks,Spread Betting,1.0,0.0
10,2024-02-12 Atlanta Hawks,-3.5,83.33333333333334,Atlanta Hawks,Spread Betting,0.0,0.0
-10,2024-02-12 Chicago Bulls,4.5,94.33962264150944,Chicago Bulls,Spread Betting,1.0,1.0
-10,2024-02-12 Chicago Bulls,3.5,92.5925925925926,Chicago Bulls,Spread Betting,0.0,1.0
-22,2024-02-12 Golden State Warriors,-1.0,90.9090909090909,Golden State Warriors,Spread Betting,1.0,1.0
-22,2024-02-12 Golden State Warriors,-3.5,88.49557522123894,Golden State Warriors,Spread Betting,0.0,1.0
22,2024-02-12 Utah Jazz,1.0,90.9090909090909,Utah Jazz,Spread Betting,1.0,0.0
22,2024-02-12 Utah Jazz,3.5,86.95652173913044,Utah Jazz,Spread Betting,0.0,0.0
8,2024-02-12 Washington Wizards,12.0,87.71929824561403,Washington Wizards,Spread Betting,1.0,1.0
8,2024-02-12 Washington Wizards,3.5,84.7457627118644,Washington Wizards,Spread Betting,0.0,0.0
-8,2024-02-12 Dallas Mavericks,-12.0,94.33962264150944,Dallas Mavericks,Spread Betting,1.0,0.0
-8,2024-02-12 Dallas Mavericks,-3.5,90.9090909090909,Dallas Mavericks,Spread Betting,0.0,1.0
14,2024-02-11 Sacramento Kings,3.5,89.28571428571429,Sacramento Kings,Spread Betting,1.0,0.0
14,2024-02-11 Sacramento Kings,8.5,94.33962264150944,Sacramento Kings,Spread Betting,0.0,0.0
-14,2024-02-11 Oklahoma City Thunder,-3.5,92.5925925925926,Oklahoma City Thunder,Spread Betting,1.0,1.0
-14,2024-02-11 Oklahoma City Thunder,-7.5,90.9090909090909,Oklahoma City Thunder,Spread Betting,0.0,1.0
-4,2024-02-11 Boston Celtics,-7.5,84.7457627118644,Boston Celtics,Spread Betting,1.0,0.0
-4,2024-02-11 Boston Celtics,-10.5,83.33333333333334,Boston Celtics,Spread Betting,0.0,0.0
4,2024-02-11 Miami Heat,8.0,89.28571428571429,Miami Heat,Spread Betting,1.0,1.0
4,2024-02-11 Miami Heat,10.5,92.5925925925926,Miami Heat,Spread Betting,0.0,1.0
-35,2024-02-10 Dallas Mavericks,1.0,92.5925925925926,Dallas Mavericks,Spread Betting,1.0,1.0
-35,2024-02-10 Dallas Mavericks,-7.5,76.92307692307693,Dallas Mavericks,Spread Betting,0.0,1.0
35,2024-02-10 Oklahoma City Thunder,-1.0,89.28571428571429,Oklahoma City Thunder,Spread Betting,1.0,0.0
35,2024-02-10 Oklahoma City Thunder,7.5,100.0,Oklahoma City Thunder,Spread Betting,0.0,0.0
1,2024-02-10 Phoenix Suns,-1.0,87.71929824561403,Phoenix Suns,Spread Betting,1.0,0.0
1,2024-02-10 Phoenix Suns,0.5,87.71929824561403,Phoenix Suns,Spread Betting,0.0,0.0
-1,2024-02-10 Golden State Warriors,1.0,92.5925925925926,Golden State Warriors,Spread Betting,1.0,1.0
-1,2024-02-10 Golden State Warriors,-0.5,87.71929824561403,Golden State Warriors,Spread Betting,0.0,1.0
-9,2024-02-10 New Orleans Pelicans,-8.5,90.9090909090909,New Orleans Pelicans,Spread Betting,1.0,1.0
-9,2024-02-10 New Orleans Pelicans,-10.5,98.0392156862745,New Orleans Pelicans,Spread Betting,0.0,0.0
9,2024-02-10 Portland Trail Blazers,8.5,90.9090909090909,Portland Trail Blazers,Spread Betting,1.0,0.0
9,2024-02-10 Portland Trail Blazers,10.5,78.125,Portland Trail Blazers,Spread Betting,0.0,1.0
-9,2024-02-10 Charlotte Hornets,5.0,90.9090909090909,Charlotte Hornets,Spread Betting,1.0,1.0
-9,2024-02-10 Charlotte Hornets,-4.5,108.0,Charlotte Hornets,Spread Betting,0.0,1.0
9,2024-02-10 Memphis Grizzlies,-5.0,90.9090909090909,Memphis Grizzlies,Spread Betting,1.0,0.0
9,2024-02-10 Memphis Grizzlies,4.5,71.42857142857143,Memphis Grizzlies,Spread Betting,0.0,0.0
9,2024-02-10 Houston Rockets,7.0,94.33962264150944,Houston Rockets,Spread Betting,1.0,0.0
9,2024-02-10 Houston Rockets,9.5,76.92307692307693,Houston Rockets,Spread Betting,0.0,1.0
-9,2024-02-10 Atlanta Hawks,-7.0,87.71929824561403,Atlanta Hawks,Spread Betting,1.0,1.0
-9,2024-02-10 Atlanta Hawks,-9.5,100.0,Atlanta Hawks,Spread Betting,0.0,0.0
-24,2024-02-10 Cleveland Cavaliers,-8.5,90.9090909090909,Cleveland Cavaliers,Spread Betting,1.0,1.0
-24,2024-02-10 Cleveland Cavaliers,-20.5,86.95652173913044,Cleveland Cavaliers,Spread Betting,0.0,1.0
24,2024-02-10 Toronto Raptors,8.5,90.9090909090909,Toronto Raptors,Spread Betting,1.0,0.0
24,2024-02-10 Toronto Raptors,20.5,88.49557522123894,Toronto Raptors,Spread Betting,0.0,0.0
14,2024-02-10 New York Knicks,2.5,92.5925925925926,New York Knicks,Spread Betting,1.0,0.0
14,2024-02-10 New York Knicks,2.5,102.0,New York Knicks,Spread Betting,0.0,0.0
-14,2024-02-10 Indiana Pacers,-2.5,89.28571428571429,Indiana Pacers,Spread Betting,1.0,1.0
-14,2024-02-10 Indiana Pacers,-2.5,75.75757575757575,Indiana Pacers,Spread Betting,0.0,1.0
6,2024-02-10 Chicago Bulls,5.0,92.5925925925926,Chicago Bulls,Spread Betting,1.0,0.0
6,2024-02-10 Chicago Bulls,4.5,81.9672131147541,Chicago Bulls,Spread Betting,0.0,0.0
-6,2024-02-10 Orlando Magic,-5.0,89.28571428571429,Orlando Magic,Spread Betting,1.0,1.0
-6,2024-02-10 Orlando Magic,-4.5,94.33962264150944,Orlando Magic,Spread Betting,0.0,1.0
6,2024-02-10 Detroit Pistons,17.0,87.71929824561403,Detroit Pistons,Spread Betting,1.0,1.0
6,2024-02-10 Detroit Pistons,4.5,92.5925925925926,Detroit Pistons,Spread Betting,0.0,0.0
6,2024-02-10 Washington Wizards,5.5,92.5925925925926,Washington Wizards,Spread Betting,1.0,0.0
6,2024-02-10 Washington Wizards,5.5,83.33333333333334,Washington Wizards,Spread Betting,0.0,0.0
-6,2024-02-10 Philadelphia 76ers,-5.5,89.28571428571429,Philadelphia 76ers,Spread Betting,1.0,1.0
-6,2024-02-10 Philadelphia 76ers,-9.5,92.5925925925926,Philadelphia 76ers,Spread Betting,0.0,0.0
-20,2024-02-10 Brooklyn Nets,-6.0,89.28571428571429,Brooklyn Nets,Spread Betting,1.0,1.0
-20,2024-02-10 Brooklyn Nets,-10.5,81.9672131147541,Brooklyn Nets,Spread Betting,0.0,1.0
20,2024-02-10 San Antonio Spurs,6.0,92.5925925925926,San Antonio Spurs,Spread Betting,1.0,0.0
20,2024-02-10 San Antonio Spurs,11.5,83.33333333333334,San Antonio Spurs,Spread Betting,0.0,0.0
-17,2024-02-09 Los Angeles Lakers,2.5,90.9090909090909,Los Angeles Lakers,Spread Betting,1.0,1.0
-17,2024-02-09 Los Angeles Lakers,-7.5,83.33333333333334,Los Angeles Lakers,Spread Betting,0.0,1.0
17,2024-02-09 New Orleans Pelicans,-3.5,90.9090909090909,New Orleans Pelicans,Spread Betting,1.0,0.0
17,2024-02-09 New Orleans Pelicans,7.5,92.5925925925926,New Orleans Pelicans,Spread Betting,0.0,0.0
-29,2024-02-09 Sacramento Kings,-3.0,90.9090909090909,Sacramento Kings,Spread Betting,1.0,1.0
-29,2024-02-09 Sacramento Kings,-7.5,78.125,Sacramento Kings,Spread Betting,0.0,1.0
29,2024-02-09 Denver Nuggets,3.0,90.9090909090909,Denver Nuggets,Spread Betting,1.0,0.0
29,2024-02-09 Denver Nuggets,7.5,98.0392156862745,Denver Nuggets,Spread Betting,0.0,0.0
-36,2024-02-09 Milwaukee Bucks,-16.0,90.9090909090909,Milwaukee Bucks,Spread Betting,1.0,1.0
-36,2024-02-09 Milwaukee Bucks,-28.5,81.9672131147541,Milwaukee Bucks,Spread Betting,0.0,1.0
36,2024-02-09 Charlotte Hornets,16.0,90.9090909090909,Charlotte Hornets,Spread Betting,1.0,0.0
36,2024-02-09 Charlotte Hornets,30.5,76.92307692307693,Charlotte Hornets,Spread Betting,0.0,0.0
3,2024-02-09 Houston Rockets,2.5,90.9090909090909,Houston Rockets,Spread Betting,1.0,0.0
3,2024-02-09 Houston Rockets,8.5,112.0,Houston Rockets,Spread Betting,0.0,1.0
-3,2024-02-09 Toronto Raptors,-2.5,90.9090909090909,Toronto Raptors,Spread Betting,1.0,1.0
-3,2024-02-09 Toronto Raptors,-8.5,68.4931506849315,Toronto Raptors,Spread Betting,0.0,0.0
-4,2024-02-09 Boston Celtics,-18.0,90.9090909090909,Boston Celtics,Spread Betting,1.0,0.0
-4,2024-02-09 Boston Celtics,-10.5,98.0392156862745,Boston Celtics,Spread Betting,0.0,0.0
4,2024-02-09 Washington Wizards,17.5,92.5925925925926,Washington Wizards,Spread Betting,1.0,1.0
4,2024-02-09 Washington Wizards,6.5,78.125,Washington Wizards,Spread Betting,0.0,1.0
6,2024-02-09 Philadelphia 76ers,3.5,87.71929824561403,Philadelphia 76ers,Spread Betting,1.0,0.0
6,2024-02-09 Philadelphia 76ers,13.5,92.5925925925926,Philadelphia 76ers,Spread Betting,0.0,1.0
-6,2024-02-09 Atlanta Hawks,-3.5,94.33962264150944,Atlanta Hawks,Spread Betting,1.0,1.0
-6,2024-02-09 Atlanta Hawks,-13.5,83.33333333333334,Atlanta Hawks,Spread Betting,0.0,0.0
-22,2024-02-08 Golden State Warriors,6.0,87.71929824561403,Golden State Warriors,Spread Betting,1.0,1.0
-22,2024-02-08 Golden State Warriors,-4.5,83.33333333333334,Golden State Warriors,Spread Betting,0.0,1.0
22,2024-02-08 Indiana Pacers,-6.0,92.5925925925926,Indiana Pacers,Spread Betting,1.0,0.0
22,2024-02-08 Indiana Pacers,4.5,92.5925925925926,Indiana Pacers,Spread Betting,0.0,0.0
-23,2024-02-08 Cleveland Cavaliers,-8.0,94.33962264150944,Cleveland Cavaliers,Spread Betting,1.0,1.0
-23,2024-02-08 Cleveland Cavaliers,-10.5,92.5925925925926,Cleveland Cavaliers,Spread Betting,0.0,1.0
14,2024-02-08 New York Knicks,5.5,94.33962264150944,New York Knicks,Spread Betting,1.0,0.0
14,2024-02-08 New York Knicks,11.5,78.125,New York Knicks,Spread Betting,0.0,0.0
-14,2024-02-08 Dallas Mavericks,-5.5,87.71929824561403,Dallas Mavericks,Spread Betting,1.0,1.0
-14,2024-02-08 Dallas Mavericks,-11.5,98.0392156862745,Dallas Mavericks,Spread Betting,0.0,1.0
-8,2024-02-08 Chicago Bulls,-5.5,89.28571428571429,Chicago Bulls,Spread Betting,1.0,1.0
-8,2024-02-08 Chicago Bulls,-2.5,100.0,Chicago Bulls,Spread Betting,0.0,1.0
8,2024-02-08 Memphis Grizzlies,5.5,92.5925925925926,Memphis Grizzlies,Spread Betting,1.0,0.0
8,2024-02-08 Memphis Grizzlies,2.5,76.92307692307693,Memphis Grizzlies,Spread Betting,0.0,0.0
23,2024-02-08 Brooklyn Nets,8.0,87.71929824561403,Brooklyn Nets,Spread Betting,1.0,0.0
23,2024-02-08 Brooklyn Nets,10.5,83.33333333333334,Brooklyn Nets,Spread Betting,0.0,0.0
-24,2024-02-08 Minnesota Timberwolves,-2.0,90.9090909090909,Minnesota Timberwolves,Spread Betting,1.0,1.0
-24,2024-02-08 Minnesota Timberwolves,-6.5,83.33333333333334,Minnesota Timberwolves,Spread Betting,0.0,1.0
24,2024-02-08 Milwaukee Bucks,2.0,90.9090909090909,Milwaukee Bucks,Spread Betting,1.0,0.0
24,2024-02-08 Milwaukee Bucks,6.5,92.5925925925926,Milwaukee Bucks,Spread Betting,0.0,0.0
-6,2024-02-08 Detroit Pistons,4.5,89.28571428571429,Detroit Pistons,Spread Betting,1.0,1.0
-6,2024-02-08 Detroit Pistons,14.5,71.42857142857143,Detroit Pistons,Spread Betting,0.0,1.0
6,2024-02-08 Portland Trail Blazers,-4.5,92.5925925925926,Portland Trail Blazers,Spread Betting,1.0,0.0
6,2024-02-08 Portland Trail Blazers,-14.5,108.0,Portland Trail Blazers,Spread Betting,0.0,0.0
-8,2024-02-08 Denver Nuggets,-3.0,87.71929824561403,Denver Nuggets,Spread Betting,1.0,1.0
-8,2024-02-08 Denver Nuggets,-8.5,84.7457627118644,Denver Nuggets,Spread Betting,0.0,0.0
8,2024-02-08 Los Angeles Lakers,3.0,94.33962264150944,Los Angeles Lakers,Spread Betting,1.0,0.0
8,2024-02-08 Los Angeles Lakers,8.5,90.9090909090909,Los Angeles Lakers,Spread Betting,0.0,1.0
16,2024-02-08 San Antonio Spurs,10.0,92.5925925925926,San Antonio Spurs,Spread Betting,1.0,0.0
16,2024-02-08 San Antonio Spurs,11.5,100.0,San Antonio Spurs,Spread Betting,0.0,0.0
-16,2024-02-08 Orlando Magic,-10.0,89.28571428571429,Orlando Magic,Spread Betting,1.0,1.0
-16,2024-02-08 Orlando Magic,-14.5,83.33333333333334,Orlando Magic,Spread Betting,0.0,1.0
14,2024-02-08 Utah Jazz,5.0,90.9090909090909,Utah Jazz,Spread Betting,1.0,0.0
14,2024-02-08 Utah Jazz,9.5,87.71929824561403,Utah Jazz,Spread Betting,0.0,0.0
-14,2024-02-08 Phoenix Suns,-5.5,94.33962264150944,Phoenix Suns,Spread Betting,1.0,1.0
-14,2024-02-08 Phoenix Suns,-9.5,87.71929824561403,Phoenix Suns,Spread Betting,0.0,1.0
-8,2024-02-07 Boston Celtics,-11.5,87.71929824561403,Boston Celtics,Spread Betting,1.0,0.0
-8,2024-02-07 Boston Celtics,-9.5,83.33333333333334,Boston Celtics,Spread Betting,0.0,0.0
8,2024-02-07 Atlanta Hawks,12.0,92.5925925925926,Atlanta Hawks,Spread Betting,1.0,1.0
8,2024-02-07 Atlanta Hawks,7.5,87.71929824561403,Atlanta Hawks,Spread Betting,0.0,0.0
12,2024-02-07 San Antonio Spurs,8.0,90.9090909090909,San Antonio Spurs,Spread Betting,1.0,0.0
12,2024-02-07 San Antonio Spurs,6.5,94.33962264150944,San Antonio Spurs,Spread Betting,0.0,0.0
-12,2024-02-07 Miami Heat,-8.0,90.9090909090909,Miami Heat,Spread Betting,1.0,1.0
-12,2024-02-07 Miami Heat,-6.5,81.9672131147541,Miami Heat,Spread Betting,0.0,1.0
-23,2024-02-07 Golden State Warriors,-3.0,90.9090909090909,Golden State Warriors,Spread Betting,1.0,1.0
-23,2024-02-07 Golden State Warriors,-4.5,98.0392156862745,Golden State Warriors,Spread Betting,0.0,1.0
23,2024-02-07 Philadelphia 76ers,3.0,90.9090909090909,Philadelphia 76ers,Spread Betting,1.0,0.0
23,2024-02-07 Philadelphia 76ers,4.5,78.125,Philadelphia 76ers,Spread Betting,0.0,0.0
13,2024-02-07 Sacramento Kings,-13.5,90.9090909090909,Sacramento Kings,Spread Betting,1.0,0.0
13,2024-02-07 Sacramento Kings,-7.5,88.49557522123894,Sacramento Kings,Spread Betting,0.0,0.0
-13,2024-02-07 Detroit Pistons,13.5,90.9090909090909,Detroit Pistons,Spread Betting,1.0,1.0
