handicap,odds,participant_name,name,description,game_date
0.0,130.0,Hou Rockets,HOU Rockets - HOU Rockets,Moneyline 1st Half,2023-10-25
0.0,64.51612903225806,Orl Magic,ORL Magic - ORL Magic,Moneyline 1st Half,2023-10-25
2.0,92.5925925925926,Hou Rockets,HOU Rockets - HOU Rockets,Spread 1st Half,2023-10-25
-2.0,89.28571428571429,Orl Magic,ORL Magic - ORL Magic,Spread 1st Half,2023-10-25
0.0,120.0,Hou Rockets,HOU Rockets - HOU Rockets,Moneyline 1st Quarter,2023-10-25
0.0,70.4225352112676,Orl Magic,ORL Magic - ORL Magic,Moneyline 1st Quarter,2023-10-25
1.5,89.28571428571429,Hou Rockets,HOU Rockets - HOU Rockets,Spread 1st Quarter,2023-10-25
-1.5,92.5925925925926,Orl Magic,ORL Magic - ORL Magic,Spread 1st Quarter,2023-10-25
0.0,105.0,Bkn Nets,BKN Nets - BKN Nets,Moneyline,2023-10-25
0.0,80.0,Cle Cavaliers,CLE Cavaliers - CLE Cavaliers,Moneyline,2023-10-25
2.0,90.9090909090909,Bkn Nets,BKN Nets - BKN Nets,Spread,2023-10-25
-2.0,90.9090909090909,Cle Cavaliers,CLE Cavaliers - CLE Cavaliers,Spread,2023-10-25
0.0,102.0,Bkn Nets,BKN Nets - BKN Nets,Moneyline 1st Half,2023-10-25
0.0,81.9672131147541,Cle Cavaliers,CLE Cavaliers - CLE Cavaliers,Moneyline 1st Half,2023-10-25
1.0,86.95652173913044,Bkn Nets,BKN Nets - BKN Nets,Spread 1st Half,2023-10-25
-1.0,95.23809523809523,Cle Cavaliers,CLE Cavaliers - CLE Cavaliers,Spread 1st Half,2023-10-25
0.0,105.0,Bkn Nets,BKN Nets - BKN Nets,Moneyline 1st Quarter,2023-10-25
0.0,80.0,Cle Cavaliers,CLE Cavaliers - CLE Cavaliers,Moneyline 1st Quarter,2023-10-25
0.5,92.5925925925926,Bkn Nets,BKN Nets - BKN Nets,Spread 1st Quarter,2023-10-25
-0.5,89.28571428571429,Cle Cavaliers,CLE Cavaliers - CLE Cavaliers,Spread 1st Quarter,2023-10-25
9.5,90.9090909090909,Det Pistons,DET Pistons - DET Pistons,Spread,2023-10-25
-9.5,90.9090909090909,Mia Heat,MIA Heat - MIA Heat,Spread,2023-10-25
5.5,86.95652173913044,Det Pistons,DET Pistons - DET Pistons,Spread 1st Half,2023-10-25
-5.5,95.23809523809523,Mia Heat,MIA Heat - MIA Heat,Spread 1st Half,2023-10-25
3.0,90.9090909090909,Det Pistons,DET Pistons - DET Pistons,Spread 1st Quarter,2023-10-25
-3.0,90.9090909090909,Mia Heat,MIA Heat - MIA Heat,Spread 1st Quarter,2023-10-25
0.0,95.23809523809523,Min Timberwolves,MIN Timberwolves - MIN Timberwolves,Moneyline,2023-10-25
0.0,86.95652173913044,Tor Raptors,TOR Raptors - TOR Raptors,Moneyline,2023-10-25
1.0,92.5925925925926,Min Timberwolves,MIN Timberwolves - MIN Timberwolves,Spread,2023-10-25
-1.0,89.28571428571429,Tor Raptors,TOR Raptors - TOR Raptors,Spread,2023-10-25
0.0,95.23809523809523,Min Timberwolves,MIN Timberwolves - MIN Timberwolves,Moneyline 1st Half,2023-10-25
0.0,86.95652173913044,Tor Raptors,TOR Raptors - TOR Raptors,Moneyline 1st Half,2023-10-25
0.5,86.95652173913044,Min Timberwolves,MIN Timberwolves - MIN Timberwolves,Spread 1st Half,2023-10-25
-0.5,95.23809523809523,Tor Raptors,TOR Raptors - TOR Raptors,Spread 1st Half,2023-10-25
0.0,92.5925925925926,Min Timberwolves,MIN Timberwolves - MIN Timberwolves,Moneyline 1st Quarter,2023-10-25
0.0,89.28571428571429,Tor Raptors,TOR Raptors - TOR Raptors,Moneyline 1st Quarter,2023-10-25
0.5,84.7457627118644,Min Timberwolves,MIN Timberwolves - MIN Timberwolves,Spread 1st Quarter,2023-10-25
-0.5,98.0392156862745,Tor Raptors,TOR Raptors - TOR Raptors,Spread 1st Quarter,2023-10-25
0.0,74.07407407407408,Chi Bulls,CHI Bulls - CHI Bulls,Moneyline,2023-10-25
0.0,114.0,Okc Thunder,OKC Thunder - OKC Thunder,Moneyline,2023-10-25
-2.5,89.28571428571429,Chi Bulls,CHI Bulls - CHI Bulls,Spread,2023-10-25
2.5,92.5925925925926,Okc Thunder,OKC Thunder - OKC Thunder,Spread,2023-10-25
0.0,76.92307692307693,Chi Bulls,CHI Bulls - CHI Bulls,Moneyline 1st Half,2023-10-25
0.0,110.0,Okc Thunder,OKC Thunder - OKC Thunder,Moneyline 1st Half,2023-10-25
-1.0,89.28571428571429,Chi Bulls,CHI Bulls - CHI Bulls,Spread 1st Half,2023-10-25
1.0,92.5925925925926,Okc Thunder,OKC Thunder - OKC Thunder,Spread 1st Half,2023-10-25
0.0,80.0,Chi Bulls,CHI Bulls - CHI Bulls,Moneyline 1st Quarter,2023-10-25
0.0,105.0,Okc Thunder,OKC Thunder - OKC Thunder,Moneyline 1st Quarter,2023-10-25
-0.5,89.28571428571429,Chi Bulls,CHI Bulls - CHI Bulls,Spread 1st Quarter,2023-10-25
0.5,92.5925925925926,Okc Thunder,OKC Thunder - OKC Thunder,Spread 1st Quarter,2023-10-25
0.0,84.7457627118644,Mem Grizzlies,MEM Grizzlies - MEM Grizzlies,Moneyline,2023-10-25
0.0,98.0392156862745,No Pelicans,NO Pelicans - NO Pelicans,Moneyline,2023-10-25
-1.0,89.28571428571429,Mem Grizzlies,MEM Grizzlies - MEM Grizzlies,Spread,2023-10-25
1.0,92.5925925925926,No Pelicans,NO Pelicans - NO Pelicans,Spread,2023-10-25
0.0,83.33333333333334,Mem Grizzlies,MEM Grizzlies - MEM Grizzlies,Moneyline 1st Half,2023-10-25
